method,layers,alpha,wmdp_accuracy,delta_wmdp_pp,retain_accuracy,delta_retain_pp
Baseline,-,0,60.55,0.00,53.91,0.00
Top-k localization,0|15,0.5,51.17,9.38,41.80,12.11
WMDP-vs-Retain,3|15,0.5,54.69,5.86,53.91,0.00
Bottom-k,6|9,0.5,53.91,6.64,44.53,9.38
Random (mean of 5),varies,0.5,54.61,5.94,51.33,2.58
