method,layers,alpha,wmdp_accuracy,delta_wmdp_pp,retain_accuracy,delta_retain_pp
Baseline,-,0,60.55,0.00,53.91,0.00
Top-k localization,15,1,57.42,3.12,55.08,-1.17
WMDP-vs-Retain,3,1,58.59,1.95,52.73,1.17
Bottom-k,13,1,57.81,2.73,53.52,0.39
Random (mean of 5),varies,1,58.28,2.27,54.45,-0.55
